Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
कला का शीर्षक क्या है?,"""एक राजा एक शोक संतप्त माँ के लिए सुधार करने की पेशकश करता है"", अमीर खुसरो दिहलवी के खमसा (पंचक) से फोलियो",कला का कलाकार कौन है?,अमीर खुसरो दिहलवी,वह कौन सा वर्ष है जब कला का निर्माण हुआ?,1597-98,कला के निर्माण में प्रयुक्त प्राथमिक सामग्रियाँ क्या हैं?,"स्याही, अपारदर्शी जल रंग, कागज पर सोना, और रंगे कागज पर सोना"
कला का शीर्षक क्या है?,"""अलेक्जेंडर को समुद्र में उतारा गया"", अमीर खुसरो दिहलवी के खमसा (पंचक) से फोलियो",कला का निर्माण किस वर्ष में हुआ था?,1597-98,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"कागज पर स्याही, जल रंग, सोना; हाशिए: रंगे हुए कागज पर सोना",उस कवि का नाम क्या है जिसका खमसा कला में एक दृश्य दर्शाया गया है?,अमीर खुसरो दिहलवी
कलाकृति के पीछे कलाकार कौन है?,अमीर खुसरो दिहलवी,कलाकृति किस वर्ष बनाई गई थी?,1597-98,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, कागज पर सोना, और रंगे कागज पर सोना",कलाकृति में दर्शाया गया केंद्रीय विषय क्या है?,"बहराम गुर की अपनी दासी दिलाराम से मुठभेड़, जिसके संगीत ने हिरणों के झुंड को मंत्रमुग्ध कर दिया है"
कला का शीर्षक क्या है?,"""एक मुस्लिम तीर्थयात्री एक ब्राह्मण से धर्मपरायणता का पाठ सीखता है"", अमीर खुसरो दिहलवी के खम्सा (पंचक) से फोलियो",कलाकृति का कलाकार कौन है?,अमीर खुसरो दिहलवी,कलाकृति के निर्माण की तिथि क्या है?,1597-98,कलाकृति में प्रयुक्त मुख्य सामग्रियाँ क्या हैं?,"स्याही, अपारदर्शी जल रंग, कागज पर सोना, और हाशिये के लिए रंगे कागज पर सोना"
कला का वस्तु नाम क्या है?,एक सचित्र पांडुलिपि से फोलियो,कला का कलाकार कौन है?,अमीर खुसरो दिहलवी,कला का माध्यम क्या है?,"स्याही, अपारदर्शी जल रंग, रंगे हुए कागज पर सोने के किनारों के साथ कागज पर सोना",कला का आकार क्या है?,"पृष्ठ: एच. 9 7/8 इंच (25.1 सेमी) x डब्ल्यू. 6 1/4 इंच (15.9 सेमी), मैट: एच.19 1/4 इंच (48.9 सेमी) x डब्ल्यू. 14 1/4 इंच (36.2 सेमी)"
कला का शीर्षक क्या है?,"""अलेक्जेंडर एक समुद्री युद्ध लड़ता है"", अमीर खुसरो दिहलवी के खमसा (पंचक) से फोलियो",कला कब बनाई गई थी?,1597-98,कला का माध्यम क्या है?,"मुख्य समर्थन: स्याही, अपारदर्शी जल रंग, कागज पर सोना",कला कितनी बड़ी है?,एच. 9 3/4 इंच (24.8 सेमी)
कला का नाम क्या है?,एक सचित्र पांडुलिपि से फोलियो,कलाकृति के लिए सचित्र पाठ किसने लिखा?,अमीर खुसरो दिहलवी,कला के लिए किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कलाकृति में दर्शाई गई कहानी क्या है?,रम के यौवन का मनोरंजन एक बगीचे में एक परी और उसकी सहेलियों द्वारा किया जाता है
कला का शीर्षक क्या है?,सम्राट जहाँगीर का चित्र,कला का निर्माण कब हुआ था?,सीए। 1615-20,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",जहाँगीर के शासनकाल के दौरान चित्रांकन शैली की एक विशिष्ट विशेषता क्या है?,यूरोपीय प्रिंटों के प्रभाव से सम्राट का अधिक सटीक और यथार्थवादी चित्रण हुआ।
कला का शीर्षक क्या है?,ट्रेलिस पैटर्न कालीन के टुकड़े,कालीन बनाने के लिए किन सामग्रियों का उपयोग किया गया था?,"रेशम (ताना और बाना), पश्मीना ऊन (ढेर); असममित रूप से गांठदार ढेर",संभवतः कालीन कहाँ बनाया गया था?,कश्मीर या लाहौर,कालीन का मूल उद्देश्य क्या था?,दर्शकों की मेजबानी जैसे विशेष अवसरों के लिए शाही इमारत को सजाने के लिए
कालीन किस सामग्री से बना है?,"रेशम (ताना और बाना), ऊन (पशमीना) ढेर",कालीन कब बनाया गया था?,सत्रवहीं शताब्दी,कालीन का आकार क्या है?,"एच. 59 1/2 इंच (151.1 सेमी), डब्ल्यू. 12 3/4 इंच (32.4 सेमी)",कालीन के बारे में क्या अनोखा है?,"यह पश्मीना, या कश्मीरी ऊन से बना है, एक बढ़िया और शानदार सामग्री जिसका उपयोग अक्सर बेहतरीन भारतीय कालीनों में किया जाता था।"
किस प्रकार की वस्तु का वर्णन किया जा रहा है?,कालीन,कालीन का शीर्षक क्या है?,''मिलेफ्लूर'' कालीन'',कालीन का उत्पादन संभवतः कब हुआ था?,संभवतः 18वीं सदी,कालीन बनाने के लिए किन सामग्रियों का उपयोग किया गया था?,"कपास (ताना और बाना), ऊन (ढेर)"
नेन,कालीन के टुकड़े,नेन,17वीं सदी के मध्य में,नेन,"रेशम (ताना और बाना), ऊन (ढेर)",नेन,"फ़ारसी कालीन डिज़ाइन, जिसमें सीमा पर लाल मैदान और कमल के फूल जैसे भारतीय तत्व हैं।"
इस कालीन के टुकड़े को बनाने के लिए किस सामग्री का उपयोग किया गया है?,"रेशम (ताना और बाना), पश्मीना ऊन (ढेर)",इस टुकड़े की रचना की अनुमानित तिथि क्या है?,1630-40,माना जाता है कि यह टुकड़ा कहाँ से उत्पन्न हुआ है?,कश्मीर या लाहौर,इस टुकड़े को कालीन बुनाई का विशेष रूप से उल्लेखनीय उदाहरण क्या बनाता है?,"इसकी बेहद संवेदनशील ड्राइंग और प्रति वर्ग इंच 2,552 नॉट की असाधारण रूप से उच्च नॉट संख्या है।"
कला कृति का नाम क्या है?,जालीदार और खिले हुए पैटर्न वाले कालीन के टुकड़े,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया जाता है?,"रेशम (ताना और बाना), पश्मीना ऊन (ढेर)",कालीन का उत्पादन कहाँ और कब हुआ?,"कश्मीर या लाहौर, सीए. 1650",कलाकृति में किस प्रकार की सजावटी शैली का उपयोग किया गया है और इसे किसने प्रेरित किया?,"मुगल सम्राट शाहजहाँ की रुचि, वास्तुशिल्प आभूषण और पांडुलिपि रोशनी में पुष्प रूपों से प्रेरित है।"
कालीन में प्रयुक्त सामग्री क्या है?,"रेशम (ताना और बाना), पश्मीना ऊन (ढेर)",कालीन कहाँ बनाया गया था?,कश्मीर या लाहौर,कालीन में किस प्रकार की गाँठ लगाने की तकनीक का प्रयोग किया गया था?,असममित रूप से गांठदार ढेर,कालीन में गांठों की बढ़ी हुई संख्या उसकी गुणवत्ता में क्यों योगदान करती है?,"यह कालीन की कोमलता और कोमलता को बढ़ाता है, जिससे अधिक जटिल पैटर्न की अनुमति मिलती है।"
कला वस्तु का नाम क्या है?,पायल,पायल का कलाकार कौन है?,विवरण में कलाकार का नाम नहीं दिया गया है.,पायल का निर्माण कब हुआ था?,19 वीं सदी,"जैसा कि कुछ किंवदंतियों द्वारा सुझाया गया है, भारतीय संस्कृति में भारी पायल का क्या महत्व है?","कुछ किंवदंतियों के अनुसार, इस तरह की भारी पायलों का वजन 20 पाउंड तक हो सकता है और इनका उपयोग दुल्हनों को अपने नए परिवारों से भागने से रोकने के लिए किया जाता था।"
कला का नाम क्या है?,"पायल, एक जोड़ी में से एक",कला का निर्माण कब हुआ था?,19 वीं सदी,कला में प्रयुक्त सामग्री क्या है?,चाँदी,मेट द्वारा अधिग्रहित किए जाने से पहले कला का स्वामित्व किसके पास था?,लॉकवुड डे फॉरेस्ट
पाठ में किस प्रकार के अलंकरण का वर्णन किया गया है?,पायल,पायल संभवतः कब बनाई गई थी?,19 वीं सदी,पायल को तैयार करने के लिए किस सामग्री का उपयोग किया गया था?,चाँदी,पायल पर लगी चेन और बॉल्स का उद्देश्य क्या था?,पहनने वाले के हिलने पर संगीतमय शोर पैदा करने के लिए
कला वस्तु का नाम क्या है?,"पायल, एक जोड़ी में से एक",कला वस्तु कब बनाई गई थी?,19 वीं सदी,कला वस्तु की सामग्री क्या है?,चाँदी,कला वस्तु का पूर्व स्वामी कौन था?,लॉकवुड डे फॉरेस्ट
कला का नाम क्या है?,"कंगन, एक जोड़ी में से एक",यह कला कब बनाई गई थी?,19 वीं सदी,यह कला किस सामग्री से बनी है?,चाँदी,इस रत्न का पूर्व मालिक कौन था?,लॉकवुड डे फॉरेस्ट
कला कितने प्रकार की होती है?,कंगन,कला का शीर्षक क्या है?,"कंगन, एक जोड़ी में से एक",कंगन का इच्छित उद्देश्य क्या है?,हथियार के रूप में अलंकरण और संभावित उपयोग,कंगन पर अलंकरण का क्या महत्व है?,"पौधों की आकृतियाँ, जैसे कलियाँ, भारतीय आभूषणों में आम हैं और प्रकृति का प्रतीक हैं।"
कला का नाम क्या है?,कंगन (कंगन),कला का निर्माण कब हुआ था?,19 वीं सदी,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"चाँदी, सोने का पानी चढ़ा हुआ और मीनाकारी किया हुआ",कंगन पर जानवरों के सिर का क्या महत्व है?,"वे याली या मकर का प्रतिनिधित्व करते हैं, जो आमतौर पर भारतीय वास्तुकला और सजावटी कलाओं में पाए जाने वाले भयंकर पौराणिक जीव हैं।"
कला वस्तु का नाम क्या है?,डिब्बा,कला वस्तु किस सामग्री से बनी है?,चाँदी,कला वस्तु का निर्माण लगभग कब हुआ था?,19 वीं सदी,कला वस्तु का समग्र आकार क्या है?,डिब्बा
किस प्रकार की वस्तु का वर्णन किया जा रहा है?,पायल,वस्तु कब बनाई गई थी?,19 वीं सदी,वस्तु किस पदार्थ से बनी है?,सोना,वस्तु का उद्देश्य क्या था?,"वस्तु को आभूषण के एक सजावटी टुकड़े के रूप में पहना जाता था, जिसे पहनने वाले के हिलने पर झनझनाहट की ध्वनि उत्पन्न करने के लिए डिज़ाइन किया गया था। इससे संभवतः संकेत मिलता है कि इसे पहनने वाला विशेषाधिकार प्राप्त व्यक्ति था।"
कला कृति का नाम क्या है?,पायल (पैज़ेब),कलाकृति कब बनाई गई थी?,19 वीं सदी,कलाकृति किससे बनी है?,सोना,कलाकृति कहाँ एकत्र की गई थी?,भारत
कला का शीर्षक क्या है?,"नौ-रत्न (नवरत्न) तावीज़ कंगन, एक जोड़ी में से एक",ब्रेसलेट में प्रयुक्त प्राथमिक सामग्री क्या है?,सोना और मीनाकारी,कंगन में कितने अलग-अलग रत्न जड़े हैं?,10,कंगन का पूर्व मालिक कौन था?,लॉकवुड डे फॉरेस्ट
कलाकृति का नाम क्या है?,"पायल, एक जोड़ी में से एक",कलाकृति बनाने के लिए किस सामग्री का उपयोग किया जाता है?,सोना,कलाकृति की उत्पत्ति क्या है?,"राजस्थान, मालवा और मध्य प्रदेश",कलाकृति का पूर्व मालिक कौन था?,लॉकवुड डे फॉरेस्ट
किस प्रकार की वस्तु का वर्णन किया गया है?,पायल,पायल किस सामग्री से बनी होती हैं?,सोना,पायल का निर्माण कब हुआ था?,19 वीं सदी,ये पायल भारत के किन क्षेत्रों में पहनी जाती होंगी?,"राजस्थान, मालवा और मध्य प्रदेश"
इस वस्तु का उद्देश्य क्या है?,"वस्तु एक बाजूबंद या बाज़ुबैंड है, जो ऊपरी बाइसेप्स पर पहना जाता है।",इसे कब बनाया गया था?,यह वस्तु 19वीं शताब्दी में बनाई गई थी।,इसे बनाने में किन सामग्रियों का उपयोग किया जाता है?,वस्तु सोने और कपड़े से बनी है।,सतह पर सोने के तत्वों का क्या महत्व है?,"सोने के तत्वों की तुलना लहसुन की कलियों, बीजों या कलियों से की जाती है और ये प्रजनन और उर्वरता का प्रतीक हैं।"
कला का नाम क्या है?,कंगन,कला का निर्माण कब हुआ था?,19 वीं सदी,कला बनाने के लिए किस सामग्री का उपयोग किया जाता है?,सोना,कंगन पर बीज के आकार के आभूषणों का क्या महत्व है?,इन्हें अक्सर प्रजनन और प्रजनन क्षमता के प्रतीक के रूप में समझा जाता है।
कला का नाम क्या है?,कंगन (पहुंची),कला का निर्माण कब हुआ था?,19 वीं सदी,कला को बनाने के लिए किस सामग्री का उपयोग किया जाता है?,सोना,कला का पूर्व स्वामी कौन था?,लॉकवुड डे फॉरेस्ट
पाठ में किस प्रकार की वस्तु का वर्णन किया गया है?,कंगन,कंगन कब बनाया गया था?,19 वीं सदी,कंगन किस सामग्री से बना है?,सोना,कंगन में कौन सी अनोखी विशेषता है?,इसमें दो मुख वाले मकर या ड्रैगन सिर हैं जो कंगन को हिलाने पर उसके आलिंगन और झनकार के रूप में काम करते हैं।
कला का नाम क्या है?,"कंगन (कड़ा), एक जोड़ी में से एक",इस कला में किस माध्यम का प्रयोग किया जाता है?,सोना,कंगन में किस प्रकार की सजावट है?,मकर या ड्रैगन हेड क्लैप के साथ ओपनवर्क सोना,कंगन में क्या है खास बात?,इसमें धातु की छोटी-छोटी गोलियाँ होती हैं जो झनझनाती हैं और हिलाने पर इसमें संगीत की गुणवत्ता जुड़ जाती है।
कला वस्तु का नाम क्या है?,कंगन,कृति का शीर्षक क्या है?,"बीज के आकार के मोतियों वाला कंगन (पहुंची), एक जोड़ी में से एक",वस्तु किससे बनी है?,सोना और रेशम,के संग्रह में कंगन पहले कहाँ था?,अमेरिकी कलाकार और डिजाइनर लॉकवुड डे फॉरेस्ट
कला वस्तु का नाम क्या है?,कंगन,कला वस्तु का शीर्षक क्या है?,"बीज के आकार के मोतियों वाला कंगन (पहुंची), एक जोड़ी में से एक",कला वस्तु को बनाने के लिए किन सामग्रियों का उपयोग किया जाता है?,सोना और रेशम,कंगन पर बीज के आकार के आभूषणों का क्या महत्व है?,वे प्रजनन और उर्वरता का प्रतीक हैं।
कला का नाम क्या है?,"कंगन (कड़ा), एक जोड़ी में से एक",कला कब बनाई गई थी?,19 वीं सदी,कला किससे बनी है?,सोना और माणिक,कंगन पर मकर मुख का क्या महत्व है?,मकर प्रमुख पौराणिक जल राक्षस हैं जो सुरक्षा का प्रतीक हैं। ऐसा माना जाता है कि वे भगवान शिव के लिए पवित्र एक जादुई गहना या रुद्राक्ष की माला रखते हैं।
कलाकृति में चित्रित वस्तु क्या है?,कंगन,कंगन किस सामग्री से बना है?,सोना और माणिक,कंगन के सिरों पर मकर शीर्षों का क्या महत्व है?,"ऐसा माना जाता है कि वे सुरक्षात्मक रूप हैं जो मगरमच्छ, हाथी और मछली की विशेषताओं को मिलाकर एक पौराणिक जल राक्षस का प्रतिनिधित्व करते हैं।",मकर सिरों के जबड़ों में रखी गोल वस्तु का क्या महत्व है?,"इसकी विभिन्न प्रकार से व्याख्या एक जादुई आभूषण या एक स्टाइलिश रुद्राक्ष माला के रूप में की गई है, जो भगवान शिव के लिए पवित्र है।"
कला का नाम क्या है?,"आर्मबैंड (बाज़ुबैंड), एक जोड़ी में से एक",कला को बनाने के लिए किस सामग्री का उपयोग किया जाता है?,"सोना, रत्न, और मीनाकारी",कला पहले कहाँ स्थित थी?,अमेरिकी कलाकार और डिजाइनर लॉकवुड डे फॉरेस्ट का संग्रह,बाज़ुबैंड का प्राथमिक कार्य क्या है?,ऊपरी बाइसेप्स पर पुरुषों द्वारा पहने जाने वाले गहनों के एक सेट में एक महत्वपूर्ण तत्व के रूप में पहना जाता है
