objectID,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,image_array,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
444854,Coin,Portrait Coin of the Emperor Jahangir,,dated 1023 AH/1614 CE,Gold,Diam. 8 3/4 in. (2.2cm),Ajmer,Coins,"Adorned with his portrait or signs of the zodiac, the coins issued by Jahangir (r. 1605–27) are a development from the epigraphic, aniconic coins issued by most Muslim rulers. His father Akbar (r. 1556–1605) had also experimented with different imagery, including hawks and ducks","[[[  0  16  59]
  [  1  15  57]
  [  5  28  78]
  ...
  [  4  15  59]
  [  5  20  66]
  [  2  22  69]]

 [[  3   9  54]
  [  2  18  64]
  [  8  23  72]
  ...
  [  1  13  55]
  [  0   8  55]
  [  4  21  70]]

 [[  2  22  69]
  [  3  21  68]
  [  2  18  61]
  ...
  [  9  28  79]
  [  6  27  78]
  [  9  29  87]]

 ...

 [[ 20  48  95]
  [ 10  41  86]
  [ 10  41  92]
  ...
  [ 17  45  99]
  [ 34  63 124]
  [ 11  38  89]]

 [[ 13  44  95]
  [ 13  46  92]
  [  7  35  82]
  ...
  [ 20  47  98]
  [ 29  61 120]
  [ 12  38  84]]

 [[ 19  50 101]
  [ 22  53 108]
  [ 17  47  96]
  ...
  [ 18  46 100]
  [ 22  53 108]
  [ 17  46  97]]]", What is the name of the art artifact?, Portrait Coin of the Emperor Jahangir, When was the coin issued?, 1023 AH/1614 CE, What material was used to make the coin?, Gold, Who issued the coin?, Emperor Jahangir
444856,Coin,"Group of Zodiac Coins--Aries, Leo, Pisces, Taurus, Capricorn",,dated 1027 AH/1617–18 CE,Silver,"D. 1/8 in. (0.3 cm)
Diam. 13/16 in. (2.1 cm)",,Coins,"Adorned with his portrait or signs of the zodiac, the coins issued by Jahangir (r. 1605–27) are a development from the epigraphic, aniconic coins issued by most Muslim rulers. His father Akbar (r. 1556–1605) had also experimented with different imagery, including hawks and ducks","[[[ 47 101 172]
  [ 54 116 192]
  [ 52 113 187]
  ...
  [ 45  97 167]
  [ 59 117 192]
  [ 55 113 189]]

 [[ 41 101 171]
  [ 51 108 177]
  [ 47 105 177]
  ...
  [ 39  97 169]
  [ 59 120 200]
  [ 57 116 195]]

 [[ 48 107 177]
  [ 49 109 179]
  [ 57 121 192]
  ...
  [ 56 115 194]
  [ 55 117 195]
  [ 55 111 182]]

 ...

 [[ 58 124 195]
  [ 67 133 204]
  [ 67 131 202]
  ...
  [ 46  99 166]
  [ 54 108 179]
  [ 46 104 176]]

 [[ 65 130 205]
  [ 61 123 193]
  [ 68 133 202]
  ...
  [ 51 100 168]
  [ 55 107 174]
  [ 48 102 173]]

 [[ 74 139 214]
  [ 67 132 201]
  [ 77 141 212]
  ...
  [ 52 100 166]
  [ 34  85 148]
  [ 46  98 168]]]", What type of art is it?, Coin, What is the title of the art?," Group of Zodiac Coins--Aries, Leo, Pisces, Taurus, Capricorn", What material is the art made of?, Silver, When was the art created?, dated 1027 AH/1617–18 CE
444857,Coin,Coin,,dated 1027 AH/1618 CE,Silver,"D. 1/8 in. (0.2 cm)
Diam. 7/8 in. (2.2 cm)",,Coins,"Bearing signs of the zodiac, the coins conceived of and issued by Emperor Jahangir were a development of earlier Mughal coinage, which included religious calligraphic inscriptions and minting dates. The sign of Leo corresponds to the month in which this coin was issued, while a couplet on the reverse provides additional information about the reign and year.","[[[ 33  80 141]
  [ 27  73 131]
  [ 32  83 146]
  ...
  [ 23  67 128]
  [ 25  69 130]
  [ 32  81 143]]

 [[ 40  91 161]
  [ 27  75 133]
  [ 26  70 129]
  ...
  [ 31  75 138]
  [ 23  71 137]
  [ 20  67 129]]

 [[ 20  70 128]
  [ 32  85 148]
  [ 32  77 138]
  ...
  [ 38  86 152]
  [ 41  91 157]
  [ 23  69 133]]

 ...

 [[ 84 143 212]
  [ 87 148 212]
  [ 85 148 216]
  ...
  [ 20  65 126]
  [ 29  73 136]
  [ 31  75 138]]

 [[ 74 130 201]
  [ 79 137 203]
  [ 70 124 195]
  ...
  [ 32  79 140]
  [ 27  74 135]
  [ 24  71 133]]

 [[ 55 101 165]
  [ 44  91 153]
  [ 65 122 197]
  ...
  [ 23  71 135]
  [ 19  67 131]
  [ 20  70 136]]]", What year was the coin issued?, 1027 AH/1618 CE, What is the diameter of the coin?, 7/8 in. (2.2 cm), What astrological sign is depicted on the coin?, Leo, What was a distinctive feature of Mughal coinage?, Religious calligraphic inscriptions and minting dates
444859,Coin,Coin,,dated 1028 AH/1619 CE,Gold,"Diam. 13/16 in. (2.1 cm)
W. 1/16 in. (0.2 cm)",Agra,Coins,"Bearing signs of the zodiac, the coins conceived of and issued by Emperor Jahangir were a development of earlier Mughal coinage, which included religious calligraphic inscriptions and minting dates. The sign of Pisces corresponds to the month in which this coin was issued, while a couplet on the reverse provides additional information about the reign and year.","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]", What is the name of the art object described in the text?, Coin, When was the coin produced?, Dated 1028 AH/1619 CE, What is the material used to create the coin?, Gold, What is the motif depicted on the coin?, Signs of the zodiac
444860,Coin,Coin with Gemini Zodiac Sign,,dated 1027 AH/1618 CE,Silver,"Diam. 13/16 in. (2 cm)
D. 1/8 in. (0.3 cm)",,Coins,"This coin bears a Gemini symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.","[[[218 218 218]
  [219 219 219]
  [221 221 221]
  ...
  [215 216 220]
  [215 216 220]
  [214 215 219]]

 [[219 219 219]
  [220 220 220]
  [221 221 221]
  ...
  [215 216 220]
  [215 216 220]
  [214 215 219]]

 [[220 220 220]
  [220 220 220]
  [221 221 221]
  ...
  [215 216 220]
  [215 216 220]
  [214 215 219]]

 ...

 [[213 215 216]
  [213 215 216]
  [212 214 215]
  ...
  [221 223 224]
  [221 223 224]
  [220 222 223]]

 [[213 215 216]
  [213 215 216]
  [212 214 215]
  ...
  [221 223 224]
  [221 223 224]
  [220 222 223]]

 [[213 215 216]
  [213 215 216]
  [212 214 215]
  ...
  [221 223 224]
  [221 223 224]
  [220 222 223]]]", What is the name of the art?, Coin with Gemini Zodiac Sign, What is the medium used to create the art?, Silver, When was the art created?, 1027 AH/1618 CE, Why does the coin have a Gemini symbol?, To correspond to the month in which it was minted.
444861,Coin,Coin with Sign of Cancer,,1032 AH?/1622–23 CE,Silver,"Diam. 13/16 in. (2.1 cm)
D. 1/8 in. (0.3 cm)",,Coins,"This coin bears a Cancer symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.","[[[  5  54 102]
  [ 23  63 112]
  [  0  42  84]
  ...
  [  1  40  79]
  [  3  52  96]
  [  5  51  98]]

 [[  0  40  82]
  [ 18  65 116]
  [  1  35  78]
  ...
  [  2  34  83]
  [  0  37  81]
  [  1  47  94]]

 [[  4  52 100]
  [  0  44  82]
  [  0  35  79]
  ...
  [  0  34  74]
  [  1  38  82]
  [  6  54 102]]

 ...

 [[ 23  66 115]
  [ 33  73 121]
  [ 12  56  97]
  ...
  [ 19  67 109]
  [ 22  67 111]
  [ 13  57  98]]

 [[ 11  56  94]
  [ 21  64 107]
  [ 14  56  99]
  ...
  [ 12  60 102]
  [ 10  55  99]
  [ 25  71 118]]

 [[ 24  69 113]
  [ 21  64 107]
  [ 27  73 120]
  ...
  [ 11  53  95]
  [ 14  57 100]
  [ 28  74 121]]]", What is the name of the art object?, Coin, What is the significance of the symbol on the coin?," The symbol represents the Cancer zodiac sign, indicating the month in which the coin was minted.", What material is the coin made of?, Silver, Who designed the coin's unusual zodiac design?, Mughal emperor Jahangir
444863,Coin,Coin with Sign of Libra,,dated 1034 AH/1625 CE,Gold,"Diam. 7/8 in. (2.2 cm)
D. 1/16 in. (0.2 cm)",Agra,Coins,"This coin bears a Libra symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]", What is the name of the art?, Coin with Sign of Libra, What is the medium used in the art?, Gold, In which year was this coin minted?, 1034 AH/1625 CE, What does the symbol on the coin represent?," The Libra zodiac sign, corresponding to the month of its minting"
444864,Coin,Hawk Coin of the Emperor Akbar,,dated 963 AH/1556 CE,Gold,Diam. 13 /16 in. (2cm),Asir,Coins,"Adorned with his portrait or signs of the zodiac, the coins issued by Jahangir (r. 1605–27) are a development from the epigraphic, aniconic coins issued by most Muslim rulers. His father Akbar (r. 1556–1605) had also experimented with different imagery, including hawks and ducks","[[[  1  35  89]
  [ 11  45 104]
  [ 14  46 105]
  ...
  [ 23  57 123]
  [ 29  62 131]
  [ 27  56 117]]

 [[  9  44 108]
  [ 15  49 115]
  [ 11  46 109]
  ...
  [ 21  53 112]
  [ 20  56 120]
  [ 23  52 113]]

 [[ 17  50 113]
  [  9  43 102]
  [ 17  52 120]
  ...
  [ 22  52 117]
  [  7  34  84]
  [ 12  42 101]]

 ...

 [[ 24  60 114]
  [ 22  56 115]
  [ 22  56 110]
  ...
  [ 59  96 156]
  [ 57  99 166]
  [ 55  91 155]]

 [[ 21  56 112]
  [ 21  55 108]
  [ 31  67 127]
  ...
  [ 51  93 158]
  [ 55  97 164]
  [ 44  79 142]]

 [[ 23  60 116]
  [ 29  66 126]
  [ 30  67 125]
  ...
  [ 41  78 136]
  [ 50  86 150]
  [ 52  92 157]]]", What is the name of the art?, Hawk Coin of the Emperor Akbar, When was the art created?, 963 AH/1556 CE, What is the medium used to create the art?, Gold, Who is depicted on the coin?, Emperor Akbar
444865,Coin,Coin,,dated 1031 AH/1621–22 CE,Gold,"Diam.  13/16 in. (2.1 cm)
W. 1/16 in. (0.2 cm)",Agra,Coins,"Bearing signs of the zodiac, the coins conceived of and issued by Emperor Jahangir were a development of earlier Mughal coinage, which included religious calligraphic inscriptions and minting dates. The sign of Capricorn corresponds to the month in which this coin was issued, while a couplet on the reverse provides additional information about the reign and year.","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]", What is the name of the depicted art?, Coin, When was the coin produced?, dated 1031 AH/1621–22 CE, What are the dimensions of the coin?, Diam.  13/16 in. (2.1 cm)\r\nW. 1/16 in. (0.2 cm), In which city was the coin produced?, Agra
444866,Coin,Coin,,dated 1028 AH/1619 CE,Gold,"Diam. 7/8 in. (2.2 cm)
D. 1/16 in. (0.2 cm)",Agra,Coins,"This coin bears a Taurus symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]", What is the name of the art?, Coin, When was the coin created?, 1028 AH/1619 CE, What is the coin made of?, Gold, What does the zodiac sign on the coin represent?, The month in which it was minted
