objectID,primaryImageLink,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
453135,https://images.metmuseum.org/CRDImages/is/original/DP300780.jpg, What is the title of the artwork?," ""The Parent Bird Blinds the Prince in Revenge for the Death of her Young One"", Folio from a Kalila wa Dimna", In what century was the artwork created?, second quarter 16th century, What is the medium and dimensions of the artwork?," Medium: Ink and opaque watercolor on paper, Dimensions: Overall: H. 12 1/2 in. (31.8 cm), W. 8 7/8 in. (22.6 cm)", What is the literary source that inspired the manuscript?," Panchatantra, written by Vidyapati (Bidpai)"
447302,https://images.metmuseum.org/CRDImages/is/original/DP215842.jpg, What is the name of the object?, Folio from an illustrated manuscript, Who is the artist of the piece?, Abu'l Qasim Firdausi, What is the medium used in the creation of the artwork?," Ink, opaque watercolor, and gold on paper", What event is depicted in the illustrated manuscript?," Kai Khusrau, Gudarz, and Giv capturing the Demon's Fortress, Bahman"
451257,https://images.metmuseum.org/CRDImages/is/original/DP256231.jpg, Who is the artist of the album leaf?, Bichitr, What is the title of the album leaf?," ""Portrait of Raja Bikramajit (Sundar Das)"", Folio from the Shah Jahan Album", When was the recto of the album leaf made?, ca. 1620, What medium was used to create the album leaf?," Ink, opaque watercolor, and gold on paper"
453143,https://images.metmuseum.org/CRDImages/is/original/DP300784.jpg, What is the title of the artwork?," ""The Discredited Ascetic Being Paraded Through the Town on a Donkey"", Folio from a Kalila wa Dimna", What medium was used to create the artwork?, Ink and opaque watercolor on paper, From what century does the artwork date?, Second quarter 16th century, Where is it suggested that the manuscript may have been copied from?, Egypt
444674,https://images.metmuseum.org/CRDImages/is/original/LC_91_1_1137.jpg, What is the primary purpose of armlets in Indian culture?, An important element in the suite of jewels worn in India., What are some of the unique features of this particular armlet?," Bells serving as pendants, resulting in both visual and auditory appeal.", What is the material used to create this armlet?, Silver, What possible purpose do the small boxes on the armlet serve?," They resemble amulet boxes, suggesting a talismanic function for the wearer."
446773,https://images.metmuseum.org/CRDImages/is/original/DP-14795-006.jpg, What is the name of the art?, Head Ornament, From what century is the art from?, 19th century, What materials is the art made from?," Gold, glass, and turquoise", Where was the art formerly located?, In the collection of American artist and designer Lockwood de Forest
453983,https://images.metmuseum.org/CRDImages/is/original/DP299944.jpg, What is the name of the art?, Panel of Nasta'liq Calligraphy, Who created the art?, Sayyid Amir 'Ali, When was the art created?, mid-17th century, What materials were used to create the art?, Black ink on marbled paper
659905,https://images.metmuseum.org/CRDImages/is/original/DP-13343-012.jpg, Who designed the Cutout?, Lockwood de Forest, When was the Cutout created?, ca. 1892, What inspired the design of the Cutout?," Indian arts and crafts, specifically examples found in wood, plaster, and stone in Indian architecture", What was the intended use of the Cutout?, As ornament on architecture or furniture
446635,https://images.metmuseum.org/CRDImages/is/original/DP330658.jpg, What type of object is being described?, Carpet, What is the title of the carpet?," '""Millefleur"" Carpet'", When was the carpet likely produced?, Probably 18th century, What materials were used to create the carpet?," Cotton (warp and weft), wool (pile)"
451270,https://images.metmuseum.org/CRDImages/is/original/DP246547.jpg, Who is the artist of the artwork?, Chitarman, What is the medium used in the artwork?," Ink, opaque watercolor, and gold on paper", What is the time period of the artwork?, Recto: Dated 1627–28; Verso: Ca. 1530–50, What is the subject matter of the artwork?," Emperor Shah Jahan standing on a terrace, holding a pendant with his portrait"
500757,https://images.metmuseum.org/CRDImages/mi/original/MUS767A.jpg, What is the name of the art?, Rankinkan, What type of instrument is the art?, Idiophone-Shaken-crotal bell, What is the main material used to create the art?, Iron, What is the approximate diameter of the bell's frame?, 25.4 cm (10 in.)
454601,https://images.metmuseum.org/CRDImages/is/original/sf2003-271a.jpg, What is the name of the art piece?, Base for a Water Pipe (Huqqa) with Poetry and Flowers, When was the art piece created?, early 18th century, What is the medium used in the art piece?," Zinc alloy; cast, engraved, inlaid with silver and brass (bidri ware)", What is unique about the decoration on the art piece?," The inlaid brass and silver decoration includes Persian verses praising tobacco in nasta‘liq script, making it an unusual piece with inlaid calligraphy in bidri ware."
446731,https://images.metmuseum.org/CRDImages/is/original/15_95_32_1.jpg, What type of object is described in the text?, Bracelet, When was the bracelet made?, 19th century, What material is the bracelet made from?, Gold, What unique feature does the bracelet possess?, It has two facing makara or dragon heads that serve as its clasp and jingle when the bracelet is moved.
444854,https://images.metmuseum.org/CRDImages/is/original/LC-99_35_2375.jpg, What is the name of the art artifact?, Portrait Coin of the Emperor Jahangir, When was the coin issued?, 1023 AH/1614 CE, What material was used to make the coin?, Gold, Who issued the coin?, Emperor Jahangir
838357,https://images.metmuseum.org/CRDImages/is/original/LC-2019_566overall.jpg, What is the name of the art piece?, Shawl, To what century does the Shawl belong?, 19th century, What material is used to make the Shawl?, Wool, What influenced the popularity of shawls in Europe?," The sophisticated male dress of the Mughal court and the fashion trends of the ""Empire"" era."
456968,https://images.metmuseum.org/CRDImages/is/original/DP273292.jpg, What is the name of the artwork?, A Nobleman Reading, What is the medium of the artwork?, Opaque watercolor on paper, What is the size of the painting without the frame?, H. 8 11/16 in. (22 cm) x W. 6 1/2 in. (16.5 cm), What is the classification of the artwork?, Codices
457788,https://images.metmuseum.org/CRDImages/is/original/TR 112 1- 3 2012image02.jpg, What type of art is this?, Painting, What is the title of the painting?, Cactus Plant in Flower, In what year was the painting created?, ca. 1800, Where is the painting likely from?, probably Calcutta
453367,https://images.metmuseum.org/CRDImages/is/original/DP234016.jpg, What is the name of the artwork?, Portrait of the Elephant 'Alam Guman, Who is the artist of the artwork?, Bichitr, What are the materials used to create the artwork?, Opaque watercolor and gold on paper, What was the purpose of the artwork?," To record the treasures of the Indian court, specifically the elephant 'Alam Guman, one of the prized possessions of the Mughal emperor Jahangir."
453058,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-1a.jpg, What type of object is this?, Folio from an illustrated manuscript, What is the title of the manuscript?, Opening Page from a Kalila wa Dimna, When was the manuscript created?, Second quarter 16th century, What is the primary medium used in the manuscript?, Ink and opaque watercolor on paper
456928,https://images.metmuseum.org/CRDImages/is/original/DP167499.jpg, What is the name of the art?, Nobleman on a Terrace, When was the art created?, ca. 1780, What materials were used to create the art?," Ink, opaque watercolor, silver, and gold on paper", Where was the art created?, Murshidabad
447297,https://images.metmuseum.org/CRDImages/is/original/DP159385.jpg, What is the title of this artwork?," ""Rustam Seizes Afrasiyab by the Girdle and Lifts him from the Saddle"", Folio from a Shahnama (Book of Kings)", Who is the artist responsible for creating this piece?, Abu'l Qasim Firdausi, What materials were used to craft this artwork?," Ink, opaque watercolor, gold on paper, and ink and gold on dyed paper", What is the approximate size of this artwork?, 7 1/2 in. (19.1 cm) x 7 5/8 in. (19.4 cm)
