objectID,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4,imagePath
453132, What type of artwork is it?, Folio from an illustrated manuscript, What is the title of the artwork?," ""The Ascetic Finds his Son Alive in his Crib"", Folio from a Kalila wa Dimna", When was the artwork created?, second quarter 16th century, What is the medium used in the artwork?, Ink and opaque watercolor on paper,input_dataset/images/453132.jpg
444695, What type of object is described?, Bracelet, What is the title of the artwork?, Bracelet (Pahunchi), In what century was the bracelet created?, 19th century, What does the bracelet exterior symbolize?, Reproduction and fertility,input_dataset/images/444695.jpg
447051, What is the title of the art?," ""Hamza's Heroes Fight in Support of Qasim and Badi'uzzaman"", Folio from a Hamzanama (The Adventures of Hamza)", Who is the artist of the piece?, Shravana, What are the dimensions of the art?, H. 27 in. (68.6 cm) x W. 21 1/4 in. (54 cm), What is the medium used in the art?," Ink, opaque watercolor, and gold on cloth; mounted on paper",input_dataset/images/447051.jpg
454343, What is the title of the art?, Album Page with Cut-Paper Decoration, When was the art created?, ca. 1625–50, What materials were used to create the art?," Cut paper, opaque watercolor, and gold", What is the main subject matter of the decoration on the art?," Flowering plants, water birds, and a deer",input_dataset/images/454343.jpg
500769, What materials are used to make a sarangi?," Wood, metal, parchment, horsehair, mother-of-pearl, ivory, and paint", What is the typical size of a sarangi?, L. 24 3/4 × W. 8 1/4 × D. 4 15/16 in. (62.8 × 21 × 12.5 cm), What type of strings are typically used on a sarangi?," Goat gut, but the top two strings on this example are metal.", Does this particular sarangi have sympathetic strings?," No, it does not have sympathetic strings, which is unusual.",input_dataset/images/500769.jpg
453099, What is the name and the genre of the art?, Folio from an illustrated manuscript from the Kalila wa Dimna., What is the medium of the art?, Ink and opaque watercolor on paper., What is the possible origin of the art?," Sultanate Gujarat, copied from an Egyptian original.", What is a distinctive feature of the art?," Strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans.",input_dataset/images/453099.jpg
453084, What is the name of the art?," Folio from an illustrated manuscript: ""The Lion King Receives the Ox, Shanzabeh, Escorted by Dimna,"" Folio from a Kalila wa Dimna", When was the art created?, Second quarter of the 16th century, What is the medium used to create the art?, Ink and opaque watercolor on paper, Where is it suggested that the manuscript was copied?, Sultanate Gujarat,input_dataset/images/453084.jpg
817378, What is the object name?, Mortar and pestle, When was this object made?, 17th century, What is it made from?, Stone, What is the significance of the design?," It combines the opposing symbolism of life and death, with a Muslim tomb as the mortar and a life-giving lingam shape as the pestle. Such objects were associated with shrines and households where medicines and foodstuff were prepared.",input_dataset/images/817378.jpg
454003, What is the name of the art?, Inlaid Box for the Portuguese Market, In what medium is the artwork made?," Wood (teak); veneered with ebony, inlaid ivory, and lac", What is the date of creation for this box?, ca.1600, Where was the box likely made?, Probably Ahmedabad,input_dataset/images/454003.jpg
452943, What type of manuscript is this artwork from?, Folio from a Qur'an Manuscript, When was this artwork created?, 14th century, What medium was used to create the artwork?," Ink, opaque watercolor, and gold on paper", What is the subject matter of the artwork?, Verses 71-75 from Surah al-A'raf (chapter 7) of the Qur'an,input_dataset/images/452943.jpg
659894, What is the title of the art?, Cutout, Who is the artist of the art?, Lockwood de Forest, What is the medium of the art?, Brass; chased, What was the inspiration behind the design of the art?, Indian arts and crafts,input_dataset/images/659894.jpg
448521, What type of art is this?, Textile Fragment, What are the materials and techniques used to create this art?," Cotton, plain weave; painted and/or printed, mordant and resist dyed", Where and when was this art created?," Gujarat, India, in the 15th–16th century", What cultural influences are evident in this art?," Jain manuscript illustrations, evidenced by the checkered patterning and floral medallions",input_dataset/images/448521.jpg
453152, What type of art is it?, Folio from an illustrated manuscript, What is the subject of the artwork?, Page of Calligraphy from a Kalila wa Dimna, Who is the artist of the artwork?, Artist's name is not specified in the provided information., Where was the artwork created?, Likely copied from an Egyptian original in Sultanate Gujarat,input_dataset/images/453152.jpg
454713, What type of bird is depicted in the artwork?, A Common Indian Nightjar (Caprimulgus asiaticus), What technique was used to create the artwork?, Opaque watercolor on paper, Where is the artwork currently housed?, The information provided does not specify the current location of the artwork.," Why was the Nightjar given its name ""goat sucker""?"," Due to the myth that it sucked on the milk of goats by night, although this is not true.",input_dataset/images/454713.jpg
453111, What is the title of the folio?," ""The Ascetic and his Guest with the Mouse Steal the Ascetic's Food""", What is the name of the author of the fables depicted in the folio?, Vidyapati (Bidpai), What is the suggested original place of origin for the manuscript?, Egypt, Where is it believed that the manuscript was copied?, Sultanate Gujarat,input_dataset/images/453111.jpg
458439, What is the type of object described?, Folio from a manuscript, What is the subject matter of the manuscript?, Quran, What era did the manuscript originate from?, 14th century, What specific type of script is used in the manuscript?," Muhaqqaq script, with interlinear Persian translation in naskhi script",input_dataset/images/458439.jpg
453313, Who created this artwork?, Bulaqi, What type of artwork is this?, Folio from an illustrated manuscript, What does the artwork depict?, Emperor Shah Jahan watching an elephant fight from a fort window, What is the meaning or symbolism behind the artwork?," The emperor is portrayed as the lord over all beneath him, suggesting his power and authority.",input_dataset/images/453313.jpg
446775, What is the name of the artifact?, Ornament, When was the Ornament created?, 19th century, What materials were used to create the Ornament?," Gold, beryl, and enamel", What was the original purpose of the Ornament?, Likely a pendant in a necklace,input_dataset/images/446775.jpg
453384, What type of object is it?, Textile fragment, When was it created?, late 17th–early 18th century, What is it made of?, Pashmina wool; double interlocking twill tapestry weave, How big is it?, Textile: H. 10 in. (25.4 cm)\r\n             W. 22 1/2 in. (57.2 cm)\r\nMount: H. 13 in. (33 cm)\r\n             W. 25 1/2 in. (64.8 cm)\r\n             D. 2 3/8 in. (6 cm),input_dataset/images/453384.jpg
453360, What is the name of the artwork?, Palanquin Finials with Lotuses, What is the medium used to create the artwork?," Copper; cast, pierced, chased, and gilded", When was the artwork created?, ca. 1650–80, Describe the decorative elements of the artwork.," Pierced, openwork pattern of flattened lotus pods and scrolling vines on the body, with lotus flowers issuing from the domed ends.",input_dataset/images/453360.jpg
453122, What is the subject matter of the art?," The art depicts the story of ""The Cuckold Carpenter Under the Bed of his Wife and her Lover"" from the Kalila wa Dimna manuscript.", What technique and materials were used to create the art?, The art was created using opaque watercolor and ink on paper., What is the size of the art?, The overall dimensions of the art are 12 1/2 inches high by 8 7/8 inches wide. The average text size is 8 5/8 inches high by 4 7/8 inches wide., What are some of the stylistic influences visible in the art?," The art exhibits a blend of Mamluk, Ottoman, and Safavid influences, as well as hints of the Gujarati style of painting.",input_dataset/images/453122.jpg
446781, What is the object's type?, Earring, When was the earring created?, 19th century, What is the earring made of?, Gold, Where were the earrings originally obtained?, India,input_dataset/images/446781.jpg
452777, What is the name of the artwork?, Bottle with Gilded Flowers, When was the artwork created?, 18th century, What materials were used to create the artwork?," Glass, purple; mold blown, gilded", What is the inspiration behind the design of this artwork?," Square bottles of this type derive from Dutch and German molded vessels, which would have been imported after the Dutch East India Company established a trade factory in Gujarat in 1618.",input_dataset/images/452777.jpg
458445, What is the name of the object?, Folio from a Qur'an Manuscript, When was the object created?, 14th century, What is the medium of the object?, Ink on paper, Are all the folios in the group of ten uniform in appearance?," No, folios 1979.295.8-.10 differ in paper and ink color.",input_dataset/images/458445.jpg
823285, What is the name of the art object?, Holi Syringe (Pichkari), When was the art object created?, Late 18th–mid-19th century, What is the medium or materials used in the art object?, Silver and gilded silver, What is the purpose of the art object?, To be used as a water syringe for the Indian spring festival of Holi,input_dataset/images/823285.jpg
453355, Who is the artist of the page of calligraphy?, 'Abd al-Rahim, When was the page of calligraphy created?, Dated 992 AH/1584–85 CE, What materials were used to create the page of calligraphy?," Ink, opaque watercolor, and gold on paper", What is the meaning of the poem written on the page of calligraphy?," The poem addresses the pain and suffering of this world, which presents an obstacle to rest and tranquility.",input_dataset/images/453355.jpg
500743, What is the name of the art?, Ranasringa, What type of aerophone is it?, Lip Vibrated Horn, Where was it made?, Bengal, When was it made?, ca. 1880,input_dataset/images/500743.jpg
781858, Who is the subject of the painting?," Alivardi Khan, ruler of Murshidabad", What is the setting of the painting?," Murshidabad's court, inside and outside a courtyard", What materials were used to create the painting?, Pigments and gold on paper, When was the artwork created?, ca. 1750–1753,input_dataset/images/781858.jpg
451276, What is the name of the album in which this page is found?, Shah Jahan Album, Who created this artwork?, Manohar, When was the artwork created?, Recto: ca. 1610; Verso: ca. 1530–40, What medium was used to create this artwork?," Ink, opaque watercolor, and gold on paper",input_dataset/images/451276.jpg
446779, What type of object is described?, Earring, What is the medium used to create the earring?, Gold, When was the earring made?, 19th century, What collection was the earring previously a part of?," Lockwood de Forest's collection of Indian jewelry, currently housed at the Met",input_dataset/images/446779.jpg
501903, What is the object's name?, Bell, What century was the bell created?, 19th century, What materials were used to create the bell?, Brass and glass, What was the potential purpose of the bell?, To honor Vishnu or Shiva,input_dataset/images/501903.jpg
447299, What is the name of the art piece?," ""Rustam Captures Rakhsh"", Folio from a Shahnama (Book of Kings)", Who is the artist of the art piece?, Abu'l Qasim Firdausi, What is the medium of the art piece?," Ink, opaque watercolor, gold on paper", When was the art piece created?, Mid-15th century,input_dataset/images/447299.jpg
453564, What type of art is this?, Firman (Official Decree), When was the art created?, 957 AH/1550 CE, What is the medium used in this art?," Ink, opaque watercolor, and gold on paper", To whom was the royal order granted?," Sufi Saint Sayyid (Abdul Qadir, known as Qadir Mian)",input_dataset/images/453564.jpg
503554, What is the name of the art?, Sarangi, When was the art created?, ca. 1865, What materials were used to make the art?," Wood, parchment, ivory, gut, and metal", What type of musical instrument is the art?, Chordophone-Lute-bowed-unfretted,input_dataset/images/503554.jpg
500775, What is the name of the art?, Duff, When was the art created?, Late 19th century, What is the medium used to create the art?, Wood, What classification does the art fall under?, Membranophone-single-headed / frame drum,input_dataset/images/500775.jpg
446730, What is the name of the art?, Bracelet (Pahunchi), When was the art created?, 19th century, What is the material used to make the art?, Gold, Who was the former owner of the art?, Lockwood de Forest,input_dataset/images/446730.jpg
448535, What is the name of the artwork?, Textile with Blue and White Pattern, During which period was the textile fragment created?, 13th–14th century, What country is the textile fragment associated with?," India, specifically the province of Gujarat", Where was the textile fragment found?," Near Fustat, Egypt",input_dataset/images/448535.jpg
453267, What is the depicted event in the art?," The tragic death of Farud, the son of Prince Siyavush and Jarira.", Who created the artwork?, Abu'l Qasim Firdausi, When was the artwork created?, ca. 1610, What materials were used to create the artwork?," Ink, opaque watercolor, and gold on paper",input_dataset/images/453267.jpg
446740, What is the type of art?, Jewelry, What is the title of the art?," Armband (Bazuband), One of a Pair", What materials were used to create the art?," Gold, gemstones, and enamel", When was the art created?, 19th century,input_dataset/images/446740.jpg
448526, What type of art is this?, Textile fragment, When was this art created?, 13th–14th century, Where was this art found?," Fustat, Egypt", What techniques were used to create the designs on this art?, Block-printing and mordant dyeing,input_dataset/images/448526.jpg
446750, What is the name of the art?, Necklace, What is the necklace made of?," Gold, emeralds, spinels, pearls", What is the approximate date of the necklace?, 18th–19th century, What is the significance of the necklace?," It is a kaliganthi, a necklace given to a bride on her wedding day by her in-laws.",input_dataset/images/446750.jpg
454623, Who created the art?, Abu'l Hasan, What is the title of the art?," ""Spotted Forktail"", Folio from the Shah Jahan Album", What materials were used to create the art?," Ink, opaque watercolor, and gold on silk", What is the approximate creation date of the art?, recto: ca. 1610–15; verso ca. 1540,input_dataset/images/454623.jpg
447306, What is the name of the art piece?, Folio from an illustrated manuscript, Who is the artist of the painting?, Abu'l Qasim Firdausi, What is the medium used in the painting?," Ink, opaque watercolor, and gold on paper", What is the conflict depicted in the painting?," The confrontation between the hero Bizhan and Farud, the half-brother of the Iranian king Kai Khusrau",input_dataset/images/447306.jpg
446706, What type of adornment is described in the text?, Anklet, When was the anklet likely made?, 19th century, What material was used to craft the anklet?, Silver, What was the purpose of the attached chain and balls on the anklet?, To create a musical noise as the wearer moved,input_dataset/images/446706.jpg
448277, What does the painting depict?, The painting depicts Emperor Jahangir praying., When was the painting created?, The painting was created in the early 17th century., What medium is the painting made of?, The painting is made of ink and opaque watercolor on paper., What is the size of the painting?, The page is 11 in. (27.9 cm) high and 6 5/16 in. (16 cm) wide. The mat is 19 1/4 in. (48.9 cm) high and 14 1/4 in. (36.2 cm) wide. The frame is 21 3/4 in. (54.6 cm) high and 16 3/4 in. (42.5 cm) wide.,input_dataset/images/448277.jpg
454013, What is the name of the art?, Footed Bowl and Plate, When was the art created?, First half of 18th century, What materials were used to create the art?," Glass, opalescent white; blown, bowl with applied stem and blown applied foot, fired silver and gold decoration", What is the significance of the milky white color in Mughal glass?, It is the rarest type of Mughal glass.,input_dataset/images/454013.jpg
451314, Who was the artist of the folio?, 'Abd al-Rahim ibn Muhammad Bairam Khan Khan-i Khanan, What is the title of the folio?," '""Arjuna Battles Raja Tamradhvaja"", Folio from a Razmnama'", What is the size of the painting?, H. 9 1/2 in. (24.2 cm)\r\n                 W. 9 3/16 in. (23.3 cm), What is the story depicted in the folio?," The Battle of Arjuna and Raja Tamradhvaja, a legendary war between the Kauravas and the Pandyas clans from the Mahabharata.",input_dataset/images/451314.jpg
447302, What is the name of the object?, Folio from an illustrated manuscript, Who is the artist of the piece?, Abu'l Qasim Firdausi, What is the medium used in the creation of the artwork?," Ink, opaque watercolor, and gold on paper", What event is depicted in the illustrated manuscript?," Kai Khusrau, Gudarz, and Giv capturing the Demon's Fortress, Bahman",input_dataset/images/447302.jpg
451409, What type of art is it?, Illustrated single work, How old is the art?, First quarter of the 17th century, What does the artwork depict?, A portrait of a Sufi mystic, Where is the artwork likely from?," Bijapur, Deccan, India",input_dataset/images/451409.jpg
453193, What is the title of the art?," ""Kai Khusrau Crosses the Sea"", Folio from a Shahnama (Book of Kings) of Firdausi", Who was the artist?, Abu'l Qasim Firdausi, When was the art created?, ca. 1610, Where was the art created?," Bijapur, India",input_dataset/images/453193.jpg
453091, What type of object is it?, Folio from an illustrated manuscript, What is the subject matter of the art?, Page of Calligraphy from Kalila wa Dimna, When was the artwork created?, Second quarter of the 16th century, What materials were used to create the artwork?, Ink and opaque watercolor on paper,input_dataset/images/453091.jpg
453273, What type of artifact is described in the text?, Panel, What is the subject matter of the inscription on the panel?, A verse from the Quran (Sura 9:18) about the conditions for inhabiting mosques, What material is the panel made of?, Basalt, What is the approximate weight of the panel?, 91 lbs (combined weight of the five sections),input_dataset/images/453273.jpg
446564, What is the object name of the art?, Folio from an illustrated manuscript, Who is the artist of the art?, Amir Khusrau Dihlavi, What is the medium of the art?," Ink, opaque watercolor, gold on paper with margins of gold on dyed paper", What is the size of the art?," Page: H. 9 7/8 in. (25.1 cm) x W. 6 1/4 in. (15.9 cm), Mat: H.19 1/4 in. (48.9 cm) x W. 14 1/4 in. (36.2 cm)",input_dataset/images/446564.jpg
453094, What is the title of the artwork?," ""The Flight of the Tortoise"", Folio from a Kalila wa Dimna", What is the medium used to create the artwork?, Ink and opaque watercolor on paper, What is the approximate size of the artwork?, Overall: H. 12 1/2 in. (31.8 cm) x W. 8 7/8 in. (22.6 cm); Average text size: H. 8 5/8 in. (21.9 cm) x W. 4 7/8 in. (12.4 cm), From where did the stories in this manuscript originate?," Ancient Indian animal fables, the Panchatantra by Vidyapati (Bidpai)",input_dataset/images/453094.jpg
455060, What is the subject of the painting?, Preparations for a royal hunt., What animals are featured in the painting?, Nilgais (blue bulls), Describe the clothing worn by the imperial huntsmen., Green hunting attire, What other elements can be seen in the background of the painting?," A distant hunting party with elephants, horses, and flags",input_dataset/images/455060.jpg
