objectID,primaryImageLink,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
444854,https://images.metmuseum.org/CRDImages/is/original/LC-99_35_2375.jpg,Coin,Portrait Coin of the Emperor Jahangir,,dated 1023 AH/1614 CE,Gold,Diam. 8 3/4 in. (2.2cm),Ajmer,Coins,"Adorned with his portrait or signs of the zodiac, the coins issued by Jahangir (r. 1605–27) are a development from the epigraphic, aniconic coins issued by most Muslim rulers. His father Akbar (r. 1556–1605) had also experimented with different imagery, including hawks and ducks", What is the name of the art artifact?, Portrait Coin of the Emperor Jahangir, When was the coin issued?, 1023 AH/1614 CE, What material was used to make the coin?, Gold, Who issued the coin?, Emperor Jahangir
444856,https://images.metmuseum.org/CRDImages/is/original/LC-99.35.2382.jpg,Coin,"Group of Zodiac Coins--Aries, Leo, Pisces, Taurus, Capricorn",,dated 1027 AH/1617–18 CE,Silver,"D. 1/8 in. (0.3 cm)
Diam. 13/16 in. (2.1 cm)",,Coins,"Adorned with his portrait or signs of the zodiac, the coins issued by Jahangir (r. 1605–27) are a development from the epigraphic, aniconic coins issued by most Muslim rulers. His father Akbar (r. 1556–1605) had also experimented with different imagery, including hawks and ducks", What type of art is it?, Coin, What is the title of the art?," Group of Zodiac Coins--Aries, Leo, Pisces, Taurus, Capricorn", What material is the art made of?, Silver, When was the art created?, dated 1027 AH/1617–18 CE
444857,https://images.metmuseum.org/CRDImages/is/original/LC-99.35.2385.jpg,Coin,Coin,,dated 1027 AH/1618 CE,Silver,"D. 1/8 in. (0.2 cm)
Diam. 7/8 in. (2.2 cm)",,Coins,"Bearing signs of the zodiac, the coins conceived of and issued by Emperor Jahangir were a development of earlier Mughal coinage, which included religious calligraphic inscriptions and minting dates. The sign of Leo corresponds to the month in which this coin was issued, while a couplet on the reverse provides additional information about the reign and year.", What year was the coin issued?, 1027 AH/1618 CE, What is the diameter of the coin?, 7/8 in. (2.2 cm), What astrological sign is depicted on the coin?, Leo, What was a distinctive feature of Mughal coinage?, Religious calligraphic inscriptions and minting dates
444859,https://images.metmuseum.org/CRDImages/is/original/DP25.jpg,Coin,Coin,,dated 1028 AH/1619 CE,Gold,"Diam. 13/16 in. (2.1 cm)
W. 1/16 in. (0.2 cm)",Agra,Coins,"Bearing signs of the zodiac, the coins conceived of and issued by Emperor Jahangir were a development of earlier Mughal coinage, which included religious calligraphic inscriptions and minting dates. The sign of Pisces corresponds to the month in which this coin was issued, while a couplet on the reverse provides additional information about the reign and year.", What is the name of the art object described in the text?, Coin, When was the coin produced?, Dated 1028 AH/1619 CE, What is the material used to create the coin?, Gold, What is the motif depicted on the coin?, Signs of the zodiac
444860,https://images.metmuseum.org/CRDImages/is/original/DP221340.jpg,Coin,Coin with Gemini Zodiac Sign,,dated 1027 AH/1618 CE,Silver,"Diam. 13/16 in. (2 cm)
D. 1/8 in. (0.3 cm)",,Coins,"This coin bears a Gemini symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.", What is the name of the art?, Coin with Gemini Zodiac Sign, What is the medium used to create the art?, Silver, When was the art created?, 1027 AH/1618 CE, Why does the coin have a Gemini symbol?, To correspond to the month in which it was minted.
444861,https://images.metmuseum.org/CRDImages/is/original/LC-99_35_2397.jpg,Coin,Coin with Sign of Cancer,,1032 AH?/1622–23 CE,Silver,"Diam. 13/16 in. (2.1 cm)
D. 1/8 in. (0.3 cm)",,Coins,"This coin bears a Cancer symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.", What is the name of the art object?, Coin, What is the significance of the symbol on the coin?," The symbol represents the Cancer zodiac sign, indicating the month in which the coin was minted.", What material is the coin made of?, Silver, Who designed the coin's unusual zodiac design?, Mughal emperor Jahangir
444863,https://images.metmuseum.org/CRDImages/is/original/DP27.jpg,Coin,Coin with Sign of Libra,,dated 1034 AH/1625 CE,Gold,"Diam. 7/8 in. (2.2 cm)
D. 1/16 in. (0.2 cm)",Agra,Coins,"This coin bears a Libra symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.", What is the name of the art?, Coin with Sign of Libra, What is the medium used in the art?, Gold, In which year was this coin minted?, 1034 AH/1625 CE, What does the symbol on the coin represent?," The Libra zodiac sign, corresponding to the month of its minting"
444864,https://images.metmuseum.org/CRDImages/is/original/LC-99_35_7400.jpg,Coin,Hawk Coin of the Emperor Akbar,,dated 963 AH/1556 CE,Gold,Diam. 13 /16 in. (2cm),Asir,Coins,"Adorned with his portrait or signs of the zodiac, the coins issued by Jahangir (r. 1605–27) are a development from the epigraphic, aniconic coins issued by most Muslim rulers. His father Akbar (r. 1556–1605) had also experimented with different imagery, including hawks and ducks", What is the name of the art?, Hawk Coin of the Emperor Akbar, When was the art created?, 963 AH/1556 CE, What is the medium used to create the art?, Gold, Who is depicted on the coin?, Emperor Akbar
444865,https://images.metmuseum.org/CRDImages/is/original/DP29.jpg,Coin,Coin,,dated 1031 AH/1621–22 CE,Gold,"Diam.  13/16 in. (2.1 cm)
W. 1/16 in. (0.2 cm)",Agra,Coins,"Bearing signs of the zodiac, the coins conceived of and issued by Emperor Jahangir were a development of earlier Mughal coinage, which included religious calligraphic inscriptions and minting dates. The sign of Capricorn corresponds to the month in which this coin was issued, while a couplet on the reverse provides additional information about the reign and year.", What is the name of the depicted art?, Coin, When was the coin produced?, dated 1031 AH/1621–22 CE, What are the dimensions of the coin?, Diam.  13/16 in. (2.1 cm)\r\nW. 1/16 in. (0.2 cm), In which city was the coin produced?, Agra
444866,https://images.metmuseum.org/CRDImages/is/original/DP31.jpg,Coin,Coin,,dated 1028 AH/1619 CE,Gold,"Diam. 7/8 in. (2.2 cm)
D. 1/16 in. (0.2 cm)",Agra,Coins,"This coin bears a Taurus symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.", What is the name of the art?, Coin, When was the coin created?, 1028 AH/1619 CE, What is the coin made of?, Gold, What does the zodiac sign on the coin represent?, The month in which it was minted
444867,https://images.metmuseum.org/CRDImages/is/original/DP33.jpg,Coin,Coin with Sign of Leo,,dated 1033 AH/1624 CE,Gold,"Diam. 3/4 in. (1.9 cm)
D. 1/16 in. (0.2 cm)",Agra,Coins,"This coin bears a Leo symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.", What is the object's name?, Coin, What symbol is depicted on the coin?, Leo, In what year was the coin minted?, 1033 AH/1624 CE, Where was the coin minted?, Agra
444868,https://images.metmuseum.org/CRDImages/is/original/LC-99_35_7405.jpg,Coin,Coin,,dated 1030 AH/1621 CE,Silver,"Diam. 13/16 in. (2 cm)
D. 1/16 in. (0.2 cm)",,Coins,"This coin bears a Scorpio symbol found on the other objects in the collection, but it was not created for talismanic purposes. This sign instead corresponds to the month in which it was minted. In his memoirs, the Mughal emperor Jahangir recorded his inspired idea for the unusual design of this and other coins depicting the signs of the zodiac.", What is the name of this art?, Coin, When was the art created?, 1030 AH/1621 CE, What is the art made of?, Silver, What does the Scorpio symbol on the coin represent?, The month in which the coin was minted
444964,https://images.metmuseum.org/CRDImages/is/original/DP168768.jpg,Hanging,Hanging,,16th–17th century,"Silk; plain-weave, embroidered","H. 131 in. (332.7 cm)
W. 92 in. (233.7 cm).",,Textiles-Embroidered,"Embroidered textiles with central medallions surrounded by flowers and vines were produced in India in the sixteenth through the eighteenth centuries.  Because this textile was woven with silver-wrapped thread, it was likely used in a courtly setting, perhaps as a summer carpet or as a cover for the dais (raised platform) of a local ruler.  Stylistic and technical similarities to other floor coverings and wall hangings suggest that it may have been produced in the Deccan region during the eighteenth century.Embroidered textiles with central medallions surrounded by flowers and vines were produced in India in the sixteenth through the eighteenth centuries.  Because this textile was woven with silver-wrapped thread, it was likely used in a courtly setting, perhaps as a summer carpet or as a cover for the dais (raised platform) of a local ruler.  Stylistic and technical similarities to other floor coverings and wall hangings suggest that it may have been produced in the Deccan region during the eighteenth century.", What is the title and type of this art?, Title: Hanging; Type: Textiles-Embroidered, When was this art created?, 16th–17th century, What materials were used to create this art?," Silk; plain-weave, embroidered with silver-wrapped thread", What was the likely use of this art?, As a summer carpet or cover for a dais in a courtly setting
444987,https://images.metmuseum.org/CRDImages/is/original/sf07-67-18a.jpg,Bowl,Bowl,,19th century,Tinned copper,"H. 6 in. (15.2 cm)
Diam. 8 9/16 in. (21.7 cm)",,Metal,Objects like this bowl were typically displayed in open niches in reception rooms of upper-class Syrian residences during the Ottoman period, What is the name of the object?, Bowl, When was the object made?, 19th century, What is the material used to create the object?, Tinned copper, Where were objects like this bowl typically displayed?, Open niches in reception rooms of upper-class Syrian residences during the Ottoman period
445003,https://images.metmuseum.org/CRDImages/is/original/sf07-207-1ba.jpg,Jewelry mold,Mold for Jewelry,,19th century,"Clay, heavy white metal","(a) c. 4 in. (10.2 cm)
          6 in. (15.2 cm)
(b) Diam. c. 3 in. (7.6 cm)",,Jewelry,"These two bangles still encased in their mold provide evidence of lost wax casting that would normally be removed. In this process, a wax model is covered with a refractory clay envelop and fired, hardening the clay and causing the wax to run out of an access channel that had also been formed in the wax. Molten metal is then poured into the mold filling the space previously held by the wax. After the mold is broken away, the cast access points including the bowl-shaped sprue seen at the top and the connecting gates are cut off and the metal surface is polished.", What is the name of the art?, Mold for Jewelry, What materials were used to create this art?, Clay and heavy white metal, What technique was used to create this art?, Lost wax casting, What are the dimensions of the art?, (a) c. 4 in. (10.2 cm) x 6 in. (15.2 cm)
445246,https://images.metmuseum.org/CRDImages/is/original/DP229986.jpg,Panel,Panel from a Mantle or Apron,,early 17th century,"Cotton, tasar silk; plain weave, embroidered","Textile a: H. 46 3/4 in. (118.7 cm)
                 W. 13 1/2 in. (34.3 cm)
Textile b: H. 45 in. (114.3 cm)
                 W. 14 1/4 in. (36.2 cm)
Textile c-e: H. 46 in. (116.8 cm)
                    W. 15 1/4 in. (38.7 cm)

Mount (Textile b:) H. 48 ½ in (123.2 cm)
                               W. 18 in. (45.7 cm)
                                D. 2 ¼ in. (5.7 cm)",Satgaon-Hugly,Textiles-Embroidered,"A distinctive group of Bengal embroideries made between the mid-sixteenth and mid-seventeenth century are embroidered with the yellowish white silk known as tasar, one of several types of the wild (i.e., uncultivated) silk that was abundant in eastern India. They incorporate highly imaginative imagery including sea creatures, mermaids, scenes from the Bible, European figures, animals, and hunters drawn from a mixture of European engravings and local traditions. Several examples include Portuguese coats of arms and must have been made for the Portuguese traders who had settled on the western coast of India, but these embroideries were also prized in England.", What is the object's name?, Panel, When was the art created?, Early 17th century, What material is the art made of?," Cotton, tasar silk, plain weave, embroidered.", What is the art typically used for?, The art was likely used as a decoration for a mantle or an apron.
445261,https://images.metmuseum.org/CRDImages/is/original/DP229987.jpg,Carpet fragment,Pashmina Carpet Fragment,,first half 17th century,"Silk (warp and weft), pashmina wool (pile); asymmetrically knotted pile","Textile: L. 13 1/2 in. (34.3 cm)
              W.  5 1/4 in. (13.3 cm)
Mount: L. 17 7/8 in. (45.4 cm)
            W. 10 1/8 in. (25.7 cm)
             D. 7/8 in. (2.2 cm)",,Textiles-Rugs,"This carpet fragment and the others in the group come from a well-known carpet of which the main part is in the Frick Collection, New York. The rich red of the ground would have been achieved with the expensive insect dye called lac, probably combined with the madder plant.", What is the name of the art?, Pashmina Carpet Fragment, In what century was the art created?, First half of the 17th century, What type of technique was used to create the art?, Asymmetrically knotted pile, What dye was likely used to achieve the rich red color of the ground?, Lac and madder plant
445975,https://images.metmuseum.org/CRDImages/is/original/DP-25267-001.jpg,Illustrated  album leaf,Portrait of Mian Mir and Mulla Shah,Muhammad Musa,ca. 1695–1705,Watercolor on paper,"Image: H. 10 7/8 in. (27.6 cm)
              W. 7 1/2 in. (19.1 cm)
Page: H. 16 5/8 in. (42.2 cm)
           W. 11 7/8 in. (30.2 cm)
Mat: H. 19 1/4 in. (48.9 cm)
        W. 14 1/4 in. (36.2 cm)",,Codices,"Mullah Shah was the spiritual guide of the heir apparent to the Mughal throne, Prince Dara Shikoh, and his elder sister Princess Jahanara Begum. Both were initiated by him into the Qadri Sufi order in the year 1640. An identical portrait of Mullah Shah by the same hand is in an album from Kashmir housed at the Lahore Museum. Dated 1699–1702, the name of the artist is mentioned in the album’s preface. This painting, which is inspired by an earlier portrait in the collection of the Victoria & Albert Museum, represents the localization of an imperial Mughal style into regional schools in the late-seventeenth century Here, the three-dimensionality favored during the Jahangir and Shah Jahan periods gives way to flat blocks of color that rejects any sense of naturalistic space.", Who is the artist of the illustrated album leaf?, Muhammad Musa, What is the approximate date of the art's creation?, ca. 1695–1705, What is the medium used to create the art?, Watercolor on paper, What is the main subject of the portrait?, Mian Mir and Mulla Shah
446266,https://images.metmuseum.org/CRDImages/is/original/DT4784.jpg,Illustrated single work,Jahangir Watching an Elephant Fight,Farrukh Chela,ca. 1605,"Main support: Ink, opaque watercolor, gold on paper
Margins: Gold on dyed paper","Painting: H. 18 1/2 in. (47 cm)
                 W. 12 7/8 in. (32.7cm)
Mat: H. 22 1/4 in. (56.5 cm)
        W. 16 1/4 in. (41.3 cm)
Frame: H. 24 1/2 in. (62.2 cm)
              W. 18 1/2 in. (47 cm)",,Codices,"Elephants were prized for their strength and power in Mughal India, where they were used for hunting, military campaigns, and sport. In this work painted by Farrukh Chela, two mounted men control the elephants, which are adorned with gold chains, as they fight before an audience. Servants standing to the right watch as one of the riders drops his ankush (a metal rod used to control elephants). They hold fireworks on poles, prepared to help direct the elephant if necessary. Wearing rich gold and deep colors, Emperor Jahangir appears on horseback in the foreground. The margins of this page were added later, when the painting was inserted into an album shortly after Nadir Shah took control of Delhi in 1739."," Who is the artist of ""Jahangir Watching an Elephant Fight""?", Farrukh Chela," What year was ""Jahangir Watching an Elephant Fight"" created?", ca. 1605," What is the primary medium used in ""Jahangir Watching an Elephant Fight""?"," Ink, opaque watercolor, gold on paper", Who appears on horseback in the foreground of the painting?, Emperor Jahangir
446560,https://images.metmuseum.org/CRDImages/is/original/DP120801.jpg,Folio from an illustrated manuscript,"""A King Offers to Make Amends to a Bereaved Mother"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Main support: Ink, opaque watercolor, gold on paper
Margins: Gold on dyed paper","H. 9 3/4 in. .(24.8 cm)
W. 6 1/4 in. (15.9 cm)",,Codices,"In this dramatic painting, a king submits to justice after having accidentally killed a shepherd while hunting. He offers the boy's grieving mother a choice: to take his sword and cut off his head, which will fall in the golden dish between them, or to accept the second dish filled with gold. Some of the marginal figures are of European inspiration, while the rocks are Persian and the main figures are typically Mughal.", What is the title of the art?," ""A King Offers to Make Amends to a Bereaved Mother"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi", Who is the artist of the art?, Amir Khusrau Dihlavi, What is the year when the art was created?, 1597–98, What are the primary materials used in the creation of the art?," Ink, opaque watercolor, gold on paper, and gold on dyed paper"
446561,https://images.metmuseum.org/CRDImages/is/original/DP120802.jpg,Folio from an illustrated manuscript,"""Alexander is Lowered into the Sea"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Main support: Ink, watercolor, gold on paper
Margins: Gold on dyed paper","H. 9 3/8 in. 
W. 6 1/4 in. (15.9 cm)",,Codices,"The Khamsa of the Indian poet Amir Khusrau includes a section on the philosopher-king Alexander the Great, who in Khusrau’s telling of his life led expeditions to China, Russia, and the Western Isles. In this copy of the Khamsa made for the Mughal emperor Akbar (r. 1556–1605), Alexander is shown being lowered into the sea in a glass diving bell. While underwater, he will receive a visit from an angel who foretells his death.", What is the title of the art?," ""Alexander is Lowered into the Sea"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi", In what year was the art created?, 1597–98, What materials were used to create the art?," Ink, watercolor, gold on paper; Margins: Gold on dyed paper", What is the name of the poet whose Khamsa the art depicts a scene from?, Amir Khusrau Dihlavi
446562,https://images.metmuseum.org/CRDImages/is/original/DP120803.jpg,Folio from an illustrated manuscript,"""Bahram Gur Sees a Herd of Deer Mesmerized by Dilaram' s Music"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Main support: ink, opaque watercolor, and gold on paper
Margins: gold on dyed paper","H. 9 5/8 in. (24.5 cm)
W. 5 15/16 in. (15.1 cm)",,Codices,"Approximately one century after the Persian poet Nizami wrote his Khamsa (Quintet), the Indian poet Amir Khusrau Dihlavi composed a response using Nizami’s structure but varying his stories slightly. This painting comes from the Mughal emperor Akbar’s (r. 1556–1605) personal copy of Amir Khusrau’s verses. It shows the king Bahram Gur with his beautiful slave girl, Dilaram, who could make animals sleep or awaken with the sound of her music.", Who is the artist behind the artwork?, Amir Khusrau Dihlavi, In what year was the artwork created?, 1597-98, What materials were used to create the artwork?," Ink, opaque watercolor, gold on paper, and gold on dyed paper", What is the central theme depicted in the artwork?," Bahram Gur's encounter with his slave girl Dilaram, whose music has mesmerized a herd of deer"
446563,https://images.metmuseum.org/CRDImages/is/original/DP159383.jpg,Folio from an illustrated manuscript,"""A Muslim Pilgrim Learns a Lesson in Piety from a Brahman"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Image: Ink, opaque watercolor, and gold on paper
Margins: Gold on dyed paper","H. 9 7/8 in. (25.1 cm)
W. 6 1/4 in. (15.9 cm)",,Codices,"The Khamsa (Quintet) of the Indian poet Amir Khusrau Dihlavi localizes its model, the Khamsa of Nizami, by rooting several of the stories in an Indian idiom. Likewise, the illustrations made for Akbar’s (r. 1556–1605) copy are set in typically Indian landscapes. Here, a Muslim pilgrim to Mecca meets a Brahman who travels to a Hindu temple by inching his way in a series of prostrations. Impressed by this religious zeal, the Muslim removes his own shoes and continues on his way barefoot.", What is the title of the art?," ""A Muslim Pilgrim Learns a Lesson in Piety from a Brahman"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi", Who is the artist of the artwork?, Amir Khusrau Dihlavi, What is the date of creation of the artwork?, 1597–98, What are the main materials used in the artwork?," Ink, opaque watercolor, gold on paper, and gold on dyed paper for margins"
446564,https://images.metmuseum.org/CRDImages/is/original/DP120805.jpg,Folio from an illustrated manuscript,"""Alexander Visits the Sage Plato in his Mountain Cave"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Main support: Ink, opaque watercolor, gold on paper
Margins: Gold on dyed paper","Page: H. 9 7/8 in. (25.1 cm)
            W. 6 1/4 in. (15.9 cm)
Mat:     H.19 1/4 in. (48.9 cm
             W. 14 1/4 in. (36.2 cm)",,Codices,"The Khamsa of the Indian poet Amir Khusrau includes a section on the philosopher-king Alexander the Great, who in Khusrau’s telling of his life led expeditions to China, Russia, and the Western Isles, and also undertook quests of a spiritual dimension. Here, the turbaned king is seated on the right, listening to the sage Plato, who offers advice on rulership but also warns of Alexander’s impending death.", What is the object name of the art?, Folio from an illustrated manuscript, Who is the artist of the art?, Amir Khusrau Dihlavi, What is the medium of the art?," Ink, opaque watercolor, gold on paper with margins of gold on dyed paper", What is the size of the art?," Page: H. 9 7/8 in. (25.1 cm) x W. 6 1/4 in. (15.9 cm), Mat: H.19 1/4 in. (48.9 cm) x W. 14 1/4 in. (36.2 cm)"
446566,https://images.metmuseum.org/CRDImages/is/original/DP120807.jpg,Folio from an illustrated manuscript,"""Alexander Fights a Sea Battle"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,"Main support: Ink, opaque watercolor, gold on paper
Margins: Gold on dyed paper","H. 9 3/4 in. (24.8 cm)
W. 6 1/4 in. (15.9 cm)",,Codices,"In the episode illustrated, Alexander the Great has ordered the construction of a tall tower surmounted by a revolving mirror in order to battle the pirates menacing the Mediterranean Sea. The protagonists appear as contemporary Indians wearing turbans and tunics, rather than ancient Greeks, and one of the fighters uses a gun, an invention from nearly two millennia after Alexander’s time.", What is the title of the art?," ""Alexander Fights a Sea Battle"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi", When was the art made?, 1597–98, What is the medium of the art?," Main support: Ink, opaque watercolor, gold on paper", How large is the art?, H. 9 3/4 in. (24.8 cm)
